Date,amount
2021-01-05T10:36:37.573Z,15704
2021-01-05T10:36:37.573Z,15698
2020-09-16T17:12:32.324Z,15696
2020-09-16T17:12:22.287Z,15523
2020-09-16T17:12:22.287Z,15375
2020-09-16T17:12:22.287Z,15339
2021-01-05T10:36:37.573Z,15300
2020-09-16T17:12:22.287Z,15300
2020-09-16T17:12:22.287Z,15195
2020-09-16T17:12:22.287Z,15089
2021-01-05T10:36:37.573Z,15032
2021-01-05T10:36:37.573Z,15004
2021-01-05T10:36:37.573Z,14956
2020-09-16T17:12:32.324Z,14813
2020-09-16T17:12:32.324Z,14813
2020-09-16T17:12:32.324Z,14813
2020-09-16T17:12:22.287Z,14783
2020-09-16T17:12:22.287Z,14771
2020-09-16T17:12:32.324Z,14757
2020-09-16T17:12:32.324Z,14700
2020-09-16T17:12:32.324Z,14700
2020-09-16T17:12:22.287Z,14643
2020-09-16T17:12:22.287Z,14609
2020-09-16T17:12:22.287Z,14579
2021-01-05T10:36:37.573Z,14428
2021-01-05T10:36:37.573Z,14401
2020-09-16T17:12:22.287Z,14385
2021-01-05T10:36:37.573Z,14357
2021-01-05T10:36:37.573Z,14316
2020-09-16T17:12:22.287Z,14316
2020-09-16T17:12:32.324Z,14316
2020-09-16T17:12:32.324Z,14289
2020-09-16T17:12:32.324Z,14286
2020-09-16T17:12:22.287Z,14054
2020-09-16T17:12:22.287Z,14027
2020-09-16T17:12:22.287Z,14027
2020-11-10T12:39:32.643Z,14027
2020-09-16T17:12:22.287Z,14008
2021-01-05T10:36:37.573Z,14000
2020-09-16T17:12:22.287Z,14000
2020-09-16T17:12:22.287Z,13885
2020-09-16T17:12:22.287Z,13885
2020-09-16T17:12:22.287Z,13700
2020-09-16T17:12:22.287Z,13700
2020-09-16T17:12:22.287Z,13700
2021-01-05T10:36:37.573Z,13674
2021-01-05T10:36:37.573Z,13671
2020-09-16T17:12:22.287Z,13660
2020-09-16T17:12:22.287Z,13651
2021-01-05T10:36:37.573Z,13619
2020-09-16T17:12:22.287Z,13358
2020-09-16T17:12:22.287Z,13345
2021-01-05T10:36:37.573Z,13345
2020-09-16T17:12:32.324Z,13345
2021-01-05T10:36:37.573Z,13341
2020-09-16T17:12:22.287Z,13341
2020-09-16T17:12:32.324Z,13332
2020-09-16T17:12:32.324Z,13332
